bus,Pg,Pmin,Pmax
1,0.0,0,100.0
4,0.0,0,100.0
6,0.0,0,100.0
8,0.0,0,100.0
10,450.0,0,550.0
12,85.0,0,185.0
15,0.0,0,100.0
18,0.0,0,100.0
19,0.0,0,100.0
24,0.0,0,100.0
25,220.0,0,320.0
26,314.0,0,414.0
27,0.0,0,100.0
31,7.0,0,107.0
32,0.0,0,100.0
34,0.0,0,100.0
36,0.0,0,100.0
40,0.0,0,100.0
42,0.0,0,100.0
46,19.0,0,119.0
49,204.0,0,304.0
54,48.0,0,148.0
55,0.0,0,100.0
56,0.0,0,100.0
59,155.0,0,255.0
61,160.0,0,260.0
62,0.0,0,100.0
65,391.0,0,491.0
66,392.0,0,492.0
69,516.4,0,805.2
70,0.0,0,100.0
72,0.0,0,100.0
73,0.0,0,100.0
74,0.0,0,100.0
76,0.0,0,100.0
77,0.0,0,100.0
80,477.0,0,577.0
85,0.0,0,100.0
87,4.0,0,104.0
89,607.0,0,707.0
90,0.0,0,100.0
91,0.0,0,100.0
92,0.0,0,100.0
99,0.0,0,100.0
100,252.0,0,352.0
103,40.0,0,140.0
104,0.0,0,100.0
105,0.0,0,100.0
107,0.0,0,100.0
110,0.0,0,100.0
111,36.0,0,136.0
112,0.0,0,100.0
113,0.0,0,100.0
116,0.0,0,100.0
