,bus_i,type,Pd,Qd,Gs,X,Y
0,1,2,51,27,0,-0.9770319056618693,-0.748777975524656
1,2,1,20,9,0,-0.9377822819332527,-0.674749056631631
2,3,1,39,10,0,-0.8315409984703285,-0.7538509159033954
3,4,2,39,12,0,-0.7213001462578802,-0.8580832666311636
4,5,1,0,0,0,-0.6594716156632509,-0.7728969775627251
5,6,2,52,22,0,-0.7845833708245752,-0.879369869541408
6,7,1,19,2,0,-0.8442626313048897,-0.805085932548522
7,8,2,28,0,0,-0.4253598817257658,-0.6310441973269891
8,9,1,0,0,0,-0.42794044515641816,-0.8448863348091757
9,10,2,0,0,0,-0.4343162487025258,-1.0
10,11,1,70,23,0,-0.7145588719749559,-0.7392484942371458
11,12,2,47,10,0,-0.7748129879496594,-0.6647693594996232
12,13,1,34,16,0,-0.6313827550777034,-0.6156721255670291
13,14,1,14,1,0,-0.6791505289661919,-0.5573272306937899
14,15,2,90,30,0,-0.509245455799347,-0.4615722158981405
15,16,1,25,10,0,-0.551555865052296,-0.557942210674285
16,17,1,11,3,0,-0.31336272609938226,-0.43035689828805107
17,18,2,60,34,0,-0.4592225893240766,-0.3960488354549319
18,19,2,45,25,0,-0.4962154926123669,-0.29190798966628506
19,20,1,18,3,0,-0.5538486751805592,-0.13969605602894405
20,21,1,14,8,0,-0.4528485832082258,-0.011588874083315989
21,22,1,10,5,0,-0.2556422473379735,0.06453268730379891
22,23,1,7,3,0,-0.019708983688609485,0.09163154574812214
23,24,2,13,0,0,-0.010882251362886243,0.4295209301800335
24,25,2,0,0,0,0.06821580122292069,-0.10806535895005359
25,26,2,0,0,0,-0.07907221924745461,-0.24835099211689907
26,27,2,71,13,0,0.22665932159382385,-0.19996759485786303
27,28,1,17,7,0,0.28525436291032796,-0.3344688339532393
28,29,1,24,4,0,0.1534903615774303,-0.39286053468837595
29,30,1,0,0,0,-0.23651003111718064,-0.3377906525627811
30,31,2,43,27,0,-0.04409891335948501,-0.36129990304327997
31,32,2,59,23,0,0.06553034638240743,-0.17855658115375792
32,33,1,23,9,0,-0.34779706923360465,-0.34327994471735707
33,34,2,59,26,0,-0.3295563993663327,-0.1958018891486963
34,35,1,33,9,0,-0.26519457113349676,-0.3543757611356881
35,36,2,31,17,0,-0.378265853915755,-0.34000835344521046
36,37,1,0,0,0,-0.16509377530746025,-0.19397283113311556
37,38,1,0,0,0,-0.09083797849599352,-0.020289656531133612
38,39,1,27,11,0,-0.02917714438449377,-0.18276404727215914
39,40,2,66,23,0,0.06946104297588422,-0.04472164367365526
40,41,1,37,10,0,0.21182642472471652,0.05225797989594727
41,42,2,96,23,0,0.23661245737474781,0.18600832640025936
42,43,1,18,7,0,-0.19246507049911243,-0.00616429056932712
43,44,1,16,8,0,-0.006669200224242819,0.16599247328924957
44,45,1,53,22,0,0.2019240608317768,0.3244097646097905
45,46,2,28,10,0,0.3151340032029892,0.40500757413051364
46,47,1,34,0,0,0.24450725229870438,0.4921287142524574
47,48,1,20,11,0,0.42582941857139284,0.4245746690476931
48,49,2,87,30,0,0.35033855309445094,0.4637033677480245
49,50,1,17,4,0,0.5335626592451773,0.5121555788537303
50,51,1,17,8,0,0.5898969062539356,0.5589199727724312
51,52,1,18,5,0,0.7433442932688343,0.6543763646498796
52,53,1,23,11,0,0.7066555537428738,0.7280807675997675
53,54,2,113,32,0,0.5486803139565902,0.6517864837361508
54,55,2,63,22,0,0.6152023216475206,0.7699726671283876
55,56,2,84,18,0,0.6382428752177344,0.6921744920390522
